Dest,Dest_Avg_ArrDelay
LCK,12.552889630711455
KOA,-2.412621842052914
DHN,2.7865143861190425
VPS,6.175388138797902
LNY,3.4086668672885945
SBN,5.843168286984701
MHT,3.926597879048438
IAD,4.529944610956528
USA,9.054420392474206
PSM,3.642172523961661
HRL,3.3383533548198066
PVD,5.783272339127783
JAC,5.76586776454443
IND,4.256403475207635
SMX,6.012304250559284
ACV,6.240055058499656
OGS,12.393939393939394
SHD,11.605747497578301
GJT,2.7725333625027346
DTW,1.2958932989062417
PNS,5.566469076857715
AVL,6.773971155370067
TRI,2.0254032258064516
MDT,3.2204422501181784
LIT,4.307852781871423
ANC,0.2600780920219502
DAL,3.181765401493133
DEN,3.9222262414924227
MFR,2.1665831441794654
PSP,2.1178853832302513
CRW,5.160124834953787
AVP,3.689427584505305
BMI,5.432324386065106
ISN,4.943170488534397
RIW,9.031026252983294
LBL,0.5476459510357815
DIK,22.398807157057654
FAY,2.5818699243423335
PUW,1.555886102847429
LRD,3.397659551414021
COS,7.986628849270664
EGE,8.521899582402641
LSE,1.1641511954053694
SGU,1.3105341595419249
BJI,0.9335399449035813
MCO,5.879923085461791
SMF,1.8823620216404482
LYH,3.088692428347355
FSM,3.521821631878558
MHK,3.3223905723905722
PHX,2.573461729201442
SLC,0.9574619359761385
SNA,0.5696192583457265
ONT,2.826138794794081
ACK,7.248009691934926
EAR,4.394066317626527
GUC,15.038805970149253
ATL,-0.07658370797233276
MIA,3.889309360492488
JAN,3.8491065092574672
SJT,1.4339593596059113
CYS,2.176324503311258
ABY,2.3317671626207255
SBP,3.17195242814668
CWA,3.588975113727589
RDU,3.954848513889079
RKS,7.330857779428147
GTR,-0.496861419604056
PBI,6.318776106934002
FCA,1.7184791174152876
AMA,7.860773220179161
MBS,3.9540930979133226
BRD,2.513481363996828
TUL,4.925243324752867
PHF,1.8872237503556863
ASE,16.575116985469172
WRG,2.242098403388726
PQI,23.53307766059444
INL,0.7220642015440878
SWO,-1.0451155853840417
STS,1.123803446075303
SAT,3.5364832327180094
SPI,6.200249921899406
DAY,5.858937029272459
MFE,9.256655574043261
ACY,5.799236932468523
GST,-4.9855072463768115
GSP,4.516599353119606
PRC,4.557162534435261
EAT,1.7421270005162623
TUS,3.8420005478583064
MLI,5.858170703033153
TYR,1.6343570057581573
PVU,6.615293420272673
LEX,3.6431649331352154
TXK,0.05426900584795322
CDV,1.3385382059800663
TLH,2.754896895110151
MTJ,5.39327242524917
BIS,4.089008101598424
RDD,5.759799368381943
STC,-0.5960912052117264
CLL,3.363310274148091
GCK,0.968738506803972
PSC,2.5228117877564076
ALO,-0.7706263498920086
OAK,1.0799177142383385
PAE,0.356726393629124
VEL,0.16512605042016806
PUB,5.475290697674419
ILG,15.234177215189874
CLE,4.657074587277633
FAT,3.2065981842206215
SCK,7.1263063601074945
CLT,0.8352489375449326
MGM,5.5184614353682235
PPG,34.68813559322034
DDC,-2.54221912072575
OTZ,-1.798443579766537
ELP,6.47319453194825
CMI,5.12160076000475
TTN,11.74411287048315
BGR,4.483663138518177
ALW,1.5096359743040686
EVV,2.866180326000228
CNY,0.6676771504357711
OWB,3.5548098434004474
BHM,6.14568620527307
DUT,25.344190140845072
HLN,-0.10044422507403751
BET,-0.9518394648829431
ELM,5.693154886379479
HHH,5.996541552232733
DVL,4.300184842883549
HIB,-1.9195309340881521
MCI,2.9853037856081666
BFF,6.157013258897418
CGI,2.280573142285905
XWA,8.319743178170144
DLH,3.951657714391554
BLV,8.531923383878691
MEM,5.1870487017975115
CPR,7.924269317240563
PSG,1.9400456174649723
BIL,1.7579681750848186
LAW,5.971934667586842
IDA,4.269312285317548
GCC,5.201622971285893
GRB,2.3030204460966544
TWF,-0.6824468085106383
PDX,0.7237161531279178
SAF,8.873962264150943
CSG,1.219430485762144
HTS,3.485703676197549
ECP,6.408561546028623
SUN,-1.9590577678070666
BGM,0.8721076987799747
CAE,3.870975730559683
TVC,4.350709728473218
OAJ,2.7368024132730016
MAF,6.01944980830045
SUX,4.749736286919831
VCT,-11.123800383877159
MSN,2.97883392019921
AZO,3.200070915698963
LGA,6.944714330240951
PIT,3.606384235522057
ROC,4.789057163326169
ORH,7.730727936439768
TOL,4.5135177371464295
OGD,5.414965986394558
LAS,3.1993715750997036
GRR,5.76200023900891
CDC,0.26547231270358307
GUM,-2.0121509824198553
MKK,3.1953628166595105
LBE,5.39798949051862
PGV,4.625394513231367
PHL,3.0580826119842004
BZN,2.1294249517751944
VLD,4.004650024473813
ALB,6.8010670731707314
LNK,7.190588646899326
MKG,4.658969210174029
GEG,2.236725716042667
OMA,3.015148066138278
SHV,3.8836673094659178
DRT,-1.488771466314399
TYS,6.249224525293521
UIN,15.056010928961749
HYS,9.140803173029251
DRO,8.067614553582516
CMX,10.51595919710431
HGR,6.759445843828716
HPN,9.84029689608637
JLN,6.316182572614108
SJU,7.98961661341853
FLG,6.072994376219442
CAK,10.142346338372409
ILM,2.351118020640381
LAR,9.11731843575419
JFK,5.545866183168127
ORD,5.486877116639721
LAN,4.498144023756496
HOU,1.8927723916476265
FOD,3.7340553549939832
YKM,1.2797411647585863
PAH,5.465029364655632
AKN,1.0711645101663585
FLL,5.634293139100971
ATW,4.085514767610471
ATY,-1.8808383233532935
TBN,-11.02608695652174
BDL,5.769685334613192
OME,-2.4865286997266693
LAX,1.3258681269412753
RDM,2.0622492943099093
MSY,3.8309778231494924
BTV,5.2993663344887345
BRW,-2.9354545454545455
HDN,6.505624360868083
ROA,3.5432524530935665
LWS,-3.9980483044645037
EWN,3.903904735530324
SAN,1.2115059920892615
BUF,5.907605314004388
PIH,-4.314749661705007
ABI,3.1600783257863174
JMS,7.905769230769231
DCA,3.660274679103847
OKC,5.513701273639521
ROP,-3.1456953642384105
EAU,5.970607235142118
CRP,4.534944602870366
GPT,4.362091898428053
COD,15.993038886221795
ESC,7.016103692065986
SYR,5.344612738473419
DEC,-3.4269662921348316
DFW,6.693671446190346
BOI,1.271270907931525
MOB,4.918373612877758
MLB,0.8683557394002068
SLN,7.946587537091988
SFO,4.7947205792983025
AUS,3.732224126386036
MSP,0.15343638846277036
RNO,2.6559764730497855
BKG,7.4334763948497855
SIT,1.3972089148094147
WYS,-2.054782608695652
ISP,7.781947136200569
PGD,16.71568859441552
FAR,4.512896232057416
SBY,1.586521807589356
IPT,-1.831013916500994
GGG,0.5994475138121547
ART,2.015291750503018
SWF,7.083100866245779
RAP,6.293295714093779
ABQ,4.149459321684617
HSV,4.177325267365237
ICT,4.291791184161375
AEX,2.1526730350259764
ORF,5.918835269619835
CHO,4.101584342963653
BPT,0.08455666470933647
BFM,4.871134020618556
IAG,2.013975726369989
GSO,4.416914109754757
STX,3.4042119565217392
BUR,2.425627067696735
ITO,-0.33246856914787465
FLO,1.8393162393162392
PLN,5.628929068150208
CHA,3.5133985267970536
GTF,1.5838121408943293
ABR,-1.1876912614756885
AZA,12.717106837947817
FAI,-0.23723888371072976
PWM,5.8648903077930585
RFD,1.8676021964612568
CIU,-0.5484218077474893
ADQ,-0.9080027359781122
EWR,13.33635354224422
MRY,4.419465977605513
HNL,-0.5458890742992901
MQT,13.134886452623336
STL,2.7777031666723575
SAV,5.114062091598176
ADK,1.1452380952380952
RIC,5.177557045263192
SJC,0.8007387054637178
DSM,3.7239294396309917
SRQ,5.109646985870576
LCH,2.7962529274004684
ALS,0.5745798319327731
COU,9.988134475939354
GNV,1.8155225726654298
MDW,1.2121691487336934
LGB,1.8222487720695606
MVY,4.473348348348348
MEI,8.585676913015043
MCW,0.0774818401937046
FNT,5.52232913890945
BQN,17.08863426840511
SFB,15.240278788163236
ROW,3.6063805886317684
SPN,-2.2064073226544623
HVN,-0.9692230070635721
SCE,3.551303531934857
DAB,1.8301538954793204
FWA,5.039939996249766
GRI,2.1464102564102565
KTN,-0.178335535006605
CVG,4.9466125712240085
PBG,11.07853170189099
SCC,-0.7592404204815192
SBA,4.187269022208406
BNA,2.5169239671552703
CMH,3.5684085684941556
RSW,3.4082765297191204
BQK,1.6238651102464332
IAH,3.740496207417202
PIE,11.393557798219762
AGS,1.8749730079896352
PIB,7.5736342042755345
BFL,5.427310591035304
JAX,5.192265022317398
BLI,0.5832522697795072
EYW,2.531559931992066
SHR,2.363575717144763
MKE,3.9456096082318823
BRO,3.233122680308958
MOT,2.700603808639108
YUM,3.894255287235638
MYR,4.019449244457517
HOB,7.465143757384797
ERI,4.247817589576547
TPA,4.147351605452467
SGF,4.88715932349456
GFK,0.3521472392638037
DLG,2.0388945752302967
BWI,1.110719220420333
CID,3.0449868002801574
ITH,4.596606859514219
MMH,12.829406220546653
PSE,13.689228229467602
SDF,5.219074209207145
OGG,-0.6528125647351274
PIA,5.6086495654017385
RST,3.435667169991258
PIR,4.836677814938684
CKB,11.836766623207302
HYA,14.833333333333334
SEA,0.6428110161443494
MSO,1.8588610916724984
LWB,6.426373626373627
ACT,0.5313597591570497
RHI,1.955704270235819
IMT,-1.980293801504837
JNU,-0.7214596003475239
BOS,5.693837338619989
EUG,2.947490746320048
ABE,3.5832454974565784
JST,1.0275988960441582
LBF,2.466452533904354
LBB,7.1456328994529335
SPS,0.4621769030116196
EKO,-2.772236076475478
FSD,5.724277047211358
BTR,3.807143141232152
JHM,-3.3394812680115273
LIH,-1.4647953701434577
STT,2.048999634331087
YAK,-1.5023489932885905
GRK,3.863228304875902
BTM,-3.9085434700790365
CHS,3.839719860955877
LFT,4.7064167191766435
OTH,7.2326043737574555
CDB,11.233333333333333
BIH,25.7859649122807
APN,3.371346233017703
XNA,3.717907271760036
MLU,3.2511119706052987
DBQ,4.503597122302159
YNG,59.5
